,label,channels,delivery_method,show_map,user_type,has_logo,org_facebook,sale_duration,sale_duration2,event_created_to_end,num_ticket_type,median_ticket_cost,total_tickets_sold,nan_delivery_method,nan_org_facebook,nan_num_ticket_type,nan_median_ticket_cost,payout_type_CHECK,payout_type_MISSING
0,1,5,0.0,1,1,0,0.0,29.0,33,33,3.0,50.0,0,False,False,False,False,0,1
1,0,0,1.0,0,3,1,0.0,28.0,28,28,2.0,35.0,25,False,False,False,False,1,0
2,0,8,1.0,0,3,0,0.0,54.0,54,54,1.0,93.51,48,False,False,False,False,1,0
3,0,6,1.0,0,3,1,0.0,0.0,0,322,6.0,13.5,58,False,False,False,False,0,0
4,0,11,0.0,0,3,0,0.0,63.0,63,63,8.0,92.5,39,False,False,False,False,1,0
5,0,6,0.0,1,1,1,0.0,65.0,65,65,4.0,11.0,37,False,False,False,False,1,0
6,0,5,1.0,1,3,1,0.0,35.0,35,35,5.0,117.13,36,False,False,False,False,0,0
7,0,12,0.0,1,3,1,18.0,21.0,21,21,1.0,14.0,57,False,False,False,False,0,0
8,0,4,0.0,0,3,1,0.0,33.0,38,38,1.0,250.0,14,False,False,False,False,0,0
9,0,12,0.0,1,3,1,18.0,28.0,28,28,1.0,14.0,64,False,False,False,False,0,0
10,0,8,1.0,0,3,1,0.0,16.0,19,19,2.0,36.98,33,False,False,False,False,1,0
11,0,10,1.0,0,3,0,8.0,27.0,27,27,1.0,30.0,21,False,False,False,False,0,0
12,0,8,1.0,0,4,1,0.0,71.0,75,76,4.0,116.665,7,False,False,False,False,1,0
14,0,11,0.0,1,3,1,17.0,51.0,51,51,2.0,112.5,58,False,False,False,False,1,0
15,0,6,0.0,1,3,1,13.0,56.0,61,61,1.0,10.0,237,False,False,False,False,1,0
16,0,6,0.0,1,3,1,13.0,32.0,33,33,1.0,10.0,186,False,False,False,False,1,0
17,0,5,0.0,1,1,1,0.0,19.0,19,19,1.0,10.0,3,False,False,False,False,1,0
18,0,11,1.0,0,4,1,0.0,185.0,185,185,1.0,474.08,8,False,False,False,False,0,0
19,0,6,1.0,1,3,1,0.0,19.0,51,51,4.0,185.0,281,False,False,False,False,0,0
20,0,6,1.0,1,3,1,0.0,38.0,46,49,35.0,7.0,1551,False,False,False,False,0,0
21,0,5,0.0,1,3,1,16.0,27.0,27,27,1.0,100.0,1,False,False,False,False,1,0
22,0,5,0.0,1,3,0,0.0,19.0,19,20,1.0,50.0,5,False,False,False,False,1,0
23,0,8,1.0,0,3,1,29.0,35.0,35,35,1.0,9.4,23,False,False,False,False,1,0
24,0,6,0.0,1,3,1,19.0,27.0,30,30,2.0,17.5,97,False,False,False,False,1,0
25,0,8,1.0,1,3,1,16.0,46.0,46,46,1.0,50.0,2,False,False,False,False,0,0
26,1,11,0.0,0,3,0,0.0,0.0,0,0,2.0,250.0,2,False,False,False,False,0,0
27,0,5,1.0,1,3,1,10.0,34.0,35,35,1.0,8.46,599,False,False,False,False,1,0
28,0,11,1.0,1,4,1,15.0,100.0,100,101,7.0,1589.64,4,False,False,False,False,0,0
29,0,5,0.0,1,4,1,0.0,16.0,16,16,2.0,25.0,67,False,False,False,False,0,0
30,0,0,1.0,0,4,0,0.0,13.0,35,35,3.0,32.08,484,False,False,False,False,1,0
31,0,12,0.0,0,3,1,9.0,13.0,150,150,4.0,10.0,69,False,False,False,False,0,0
33,0,5,1.0,0,4,1,0.0,47.0,70,71,4.0,46.26,8,False,False,False,False,0,0
34,0,8,1.0,0,3,1,0.0,26.0,26,26,4.0,20.0,36,False,False,False,False,0,0
35,0,8,1.0,0,3,1,10.0,21.0,24,40,1.0,64.81,125,False,False,False,False,0,0
36,0,11,0.0,1,1,1,0.0,38.0,38,41,5.0,30.0,12,False,False,False,False,1,0
37,0,11,1.0,1,3,1,8.0,60.0,60,61,10.0,52.63,266,False,False,False,False,1,0
38,0,5,0.0,0,3,1,16.0,9.0,9,9,1.0,15.0,109,False,False,False,False,0,0
39,0,11,1.0,1,4,1,26.0,120.0,128,128,4.0,70.26,65,False,False,False,False,1,0
40,0,8,3.0,0,3,1,0.0,68.0,68,72,3.0,0.0,54,False,False,False,False,0,0
41,0,8,0.0,0,3,1,0.0,12.0,12,12,5.0,25.0,14,False,False,False,False,0,0
42,0,8,0.0,1,3,1,6.0,18.0,18,18,1.0,0.0,20,False,False,False,False,1,0
43,0,11,0.0,1,3,1,0.0,0.0,0,0,4.0,45.0,1,False,False,False,False,1,0
44,0,6,1.0,1,3,1,0.0,36.0,36,48,2.0,11.25,2,False,False,False,False,0,0
45,0,11,0.0,0,1,1,0.0,61.0,61,61,3.0,0.0,55,False,False,False,False,0,0
46,0,11,0.0,1,3,1,0.0,97.0,97,97,1.0,5.0,1,False,False,False,False,0,0
